day,status,count,first_day,date
0 days,kein Impfschutz,196734,2020-02-27,2020-02-27
0 days,durch Infektion geimpft,1,2020-02-27,2020-02-27
1 days,kein Impfschutz,196734,2020-02-27,2020-02-28
1 days,durch Infektion geimpft,1,2020-02-27,2020-02-28
2 days,kein Impfschutz,196734,2020-02-27,2020-02-29
2 days,durch Infektion geimpft,1,2020-02-27,2020-02-29
3 days,kein Impfschutz,196734,2020-02-27,2020-03-01
3 days,durch Infektion geimpft,1,2020-02-27,2020-03-01
4 days,kein Impfschutz,196733,2020-02-27,2020-03-02
4 days,durch Infektion geimpft,2,2020-02-27,2020-03-02
5 days,kein Impfschutz,196732,2020-02-27,2020-03-03
5 days,durch Infektion geimpft,3,2020-02-27,2020-03-03
6 days,kein Impfschutz,196728,2020-02-27,2020-03-04
6 days,durch Infektion geimpft,7,2020-02-27,2020-03-04
7 days,kein Impfschutz,196723,2020-02-27,2020-03-05
7 days,durch Infektion geimpft,12,2020-02-27,2020-03-05
8 days,kein Impfschutz,196718,2020-02-27,2020-03-06
8 days,durch Infektion geimpft,17,2020-02-27,2020-03-06
9 days,kein Impfschutz,196715,2020-02-27,2020-03-07
9 days,durch Infektion geimpft,20,2020-02-27,2020-03-07
10 days,kein Impfschutz,196710,2020-02-27,2020-03-08
10 days,durch Infektion geimpft,25,2020-02-27,2020-03-08
11 days,kein Impfschutz,196700,2020-02-27,2020-03-09
11 days,durch Infektion geimpft,35,2020-02-27,2020-03-09
12 days,kein Impfschutz,196694,2020-02-27,2020-03-10
12 days,durch Infektion geimpft,41,2020-02-27,2020-03-10
13 days,kein Impfschutz,196672,2020-02-27,2020-03-11
13 days,durch Infektion geimpft,63,2020-02-27,2020-03-11
14 days,kein Impfschutz,196648,2020-02-27,2020-03-12
14 days,durch Infektion geimpft,87,2020-02-27,2020-03-12
15 days,kein Impfschutz,196636,2020-02-27,2020-03-13
15 days,durch Infektion geimpft,99,2020-02-27,2020-03-13
16 days,kein Impfschutz,196612,2020-02-27,2020-03-14
16 days,durch Infektion geimpft,123,2020-02-27,2020-03-14
17 days,kein Impfschutz,196598,2020-02-27,2020-03-15
17 days,durch Infektion geimpft,137,2020-02-27,2020-03-15
18 days,kein Impfschutz,196579,2020-02-27,2020-03-16
18 days,durch Infektion geimpft,156,2020-02-27,2020-03-16
19 days,kein Impfschutz,196558,2020-02-27,2020-03-17
19 days,durch Infektion geimpft,177,2020-02-27,2020-03-17
20 days,kein Impfschutz,196509,2020-02-27,2020-03-18
20 days,durch Infektion geimpft,226,2020-02-27,2020-03-18
21 days,kein Impfschutz,196475,2020-02-27,2020-03-19
21 days,durch Infektion geimpft,260,2020-02-27,2020-03-19
22 days,kein Impfschutz,196433,2020-02-27,2020-03-20
22 days,durch Infektion geimpft,302,2020-02-27,2020-03-20
23 days,kein Impfschutz,196384,2020-02-27,2020-03-21
23 days,durch Infektion geimpft,351,2020-02-27,2020-03-21
24 days,kein Impfschutz,196344,2020-02-27,2020-03-22
24 days,durch Infektion geimpft,391,2020-02-27,2020-03-22
25 days,kein Impfschutz,196313,2020-02-27,2020-03-23
25 days,durch Infektion geimpft,422,2020-02-27,2020-03-23
26 days,kein Impfschutz,196257,2020-02-27,2020-03-24
26 days,durch Infektion geimpft,478,2020-02-27,2020-03-24
27 days,kein Impfschutz,196213,2020-02-27,2020-03-25
27 days,durch Infektion geimpft,522,2020-02-27,2020-03-25
28 days,kein Impfschutz,196181,2020-02-27,2020-03-26
28 days,durch Infektion geimpft,554,2020-02-27,2020-03-26
29 days,kein Impfschutz,196144,2020-02-27,2020-03-27
29 days,durch Infektion geimpft,591,2020-02-27,2020-03-27
30 days,kein Impfschutz,196111,2020-02-27,2020-03-28
30 days,durch Infektion geimpft,624,2020-02-27,2020-03-28
31 days,kein Impfschutz,196091,2020-02-27,2020-03-29
31 days,durch Infektion geimpft,644,2020-02-27,2020-03-29
32 days,kein Impfschutz,196059,2020-02-27,2020-03-30
32 days,durch Infektion geimpft,676,2020-02-27,2020-03-30
33 days,kein Impfschutz,196036,2020-02-27,2020-03-31
33 days,durch Infektion geimpft,699,2020-02-27,2020-03-31
34 days,kein Impfschutz,196010,2020-02-27,2020-04-01
34 days,durch Infektion geimpft,725,2020-02-27,2020-04-01
35 days,kein Impfschutz,195979,2020-02-27,2020-04-02
35 days,durch Infektion geimpft,756,2020-02-27,2020-04-02
36 days,kein Impfschutz,195958,2020-02-27,2020-04-03
36 days,durch Infektion geimpft,777,2020-02-27,2020-04-03
37 days,kein Impfschutz,195947,2020-02-27,2020-04-04
37 days,durch Infektion geimpft,788,2020-02-27,2020-04-04
38 days,kein Impfschutz,195928,2020-02-27,2020-04-05
38 days,durch Infektion geimpft,807,2020-02-27,2020-04-05
39 days,kein Impfschutz,195914,2020-02-27,2020-04-06
39 days,durch Infektion geimpft,821,2020-02-27,2020-04-06
40 days,kein Impfschutz,195904,2020-02-27,2020-04-07
40 days,durch Infektion geimpft,831,2020-02-27,2020-04-07
41 days,kein Impfschutz,195889,2020-02-27,2020-04-08
41 days,durch Infektion geimpft,846,2020-02-27,2020-04-08
42 days,kein Impfschutz,195873,2020-02-27,2020-04-09
42 days,durch Infektion geimpft,862,2020-02-27,2020-04-09
43 days,kein Impfschutz,195868,2020-02-27,2020-04-10
43 days,durch Infektion geimpft,867,2020-02-27,2020-04-10
44 days,kein Impfschutz,195862,2020-02-27,2020-04-11
44 days,durch Infektion geimpft,873,2020-02-27,2020-04-11
45 days,kein Impfschutz,195852,2020-02-27,2020-04-12
45 days,durch Infektion geimpft,883,2020-02-27,2020-04-12
46 days,kein Impfschutz,195847,2020-02-27,2020-04-13
46 days,durch Infektion geimpft,888,2020-02-27,2020-04-13
47 days,kein Impfschutz,195837,2020-02-27,2020-04-14
47 days,durch Infektion geimpft,898,2020-02-27,2020-04-14
48 days,kein Impfschutz,195833,2020-02-27,2020-04-15
48 days,durch Infektion geimpft,902,2020-02-27,2020-04-15
49 days,kein Impfschutz,195824,2020-02-27,2020-04-16
49 days,durch Infektion geimpft,911,2020-02-27,2020-04-16
50 days,kein Impfschutz,195817,2020-02-27,2020-04-17
50 days,durch Infektion geimpft,918,2020-02-27,2020-04-17
51 days,kein Impfschutz,195813,2020-02-27,2020-04-18
51 days,durch Infektion geimpft,922,2020-02-27,2020-04-18
52 days,kein Impfschutz,195811,2020-02-27,2020-04-19
52 days,durch Infektion geimpft,924,2020-02-27,2020-04-19
53 days,kein Impfschutz,195810,2020-02-27,2020-04-20
53 days,durch Infektion geimpft,925,2020-02-27,2020-04-20
54 days,kein Impfschutz,195809,2020-02-27,2020-04-21
54 days,durch Infektion geimpft,926,2020-02-27,2020-04-21
55 days,kein Impfschutz,195806,2020-02-27,2020-04-22
55 days,durch Infektion geimpft,929,2020-02-27,2020-04-22
56 days,kein Impfschutz,195802,2020-02-27,2020-04-23
56 days,durch Infektion geimpft,933,2020-02-27,2020-04-23
57 days,kein Impfschutz,195800,2020-02-27,2020-04-24
57 days,durch Infektion geimpft,935,2020-02-27,2020-04-24
58 days,kein Impfschutz,195798,2020-02-27,2020-04-25
58 days,durch Infektion geimpft,937,2020-02-27,2020-04-25
59 days,kein Impfschutz,195797,2020-02-27,2020-04-26
59 days,durch Infektion geimpft,938,2020-02-27,2020-04-26
60 days,kein Impfschutz,195795,2020-02-27,2020-04-27
60 days,durch Infektion geimpft,940,2020-02-27,2020-04-27
61 days,kein Impfschutz,195791,2020-02-27,2020-04-28
61 days,durch Infektion geimpft,944,2020-02-27,2020-04-28
62 days,kein Impfschutz,195788,2020-02-27,2020-04-29
62 days,durch Infektion geimpft,947,2020-02-27,2020-04-29
63 days,kein Impfschutz,195786,2020-02-27,2020-04-30
63 days,durch Infektion geimpft,949,2020-02-27,2020-04-30
64 days,kein Impfschutz,195782,2020-02-27,2020-05-01
64 days,durch Infektion geimpft,953,2020-02-27,2020-05-01
65 days,kein Impfschutz,195782,2020-02-27,2020-05-02
65 days,durch Infektion geimpft,953,2020-02-27,2020-05-02
66 days,kein Impfschutz,195780,2020-02-27,2020-05-03
66 days,durch Infektion geimpft,955,2020-02-27,2020-05-03
67 days,kein Impfschutz,195777,2020-02-27,2020-05-04
67 days,durch Infektion geimpft,958,2020-02-27,2020-05-04
68 days,kein Impfschutz,195776,2020-02-27,2020-05-05
68 days,durch Infektion geimpft,959,2020-02-27,2020-05-05
69 days,kein Impfschutz,195773,2020-02-27,2020-05-06
69 days,durch Infektion geimpft,962,2020-02-27,2020-05-06
70 days,kein Impfschutz,195772,2020-02-27,2020-05-07
70 days,durch Infektion geimpft,963,2020-02-27,2020-05-07
71 days,kein Impfschutz,195771,2020-02-27,2020-05-08
71 days,durch Infektion geimpft,964,2020-02-27,2020-05-08
72 days,kein Impfschutz,195771,2020-02-27,2020-05-09
72 days,durch Infektion geimpft,964,2020-02-27,2020-05-09
73 days,kein Impfschutz,195769,2020-02-27,2020-05-10
73 days,durch Infektion geimpft,966,2020-02-27,2020-05-10
74 days,kein Impfschutz,195769,2020-02-27,2020-05-11
74 days,durch Infektion geimpft,966,2020-02-27,2020-05-11
75 days,kein Impfschutz,195769,2020-02-27,2020-05-12
75 days,durch Infektion geimpft,966,2020-02-27,2020-05-12
76 days,kein Impfschutz,195768,2020-02-27,2020-05-13
76 days,durch Infektion geimpft,967,2020-02-27,2020-05-13
77 days,kein Impfschutz,195766,2020-02-27,2020-05-14
77 days,durch Infektion geimpft,969,2020-02-27,2020-05-14
78 days,kein Impfschutz,195765,2020-02-27,2020-05-15
78 days,durch Infektion geimpft,970,2020-02-27,2020-05-15
79 days,kein Impfschutz,195765,2020-02-27,2020-05-16
79 days,durch Infektion geimpft,970,2020-02-27,2020-05-16
80 days,kein Impfschutz,195765,2020-02-27,2020-05-17
80 days,durch Infektion geimpft,970,2020-02-27,2020-05-17
81 days,kein Impfschutz,195764,2020-02-27,2020-05-18
81 days,durch Infektion geimpft,971,2020-02-27,2020-05-18
82 days,kein Impfschutz,195763,2020-02-27,2020-05-19
82 days,durch Infektion geimpft,972,2020-02-27,2020-05-19
83 days,kein Impfschutz,195763,2020-02-27,2020-05-20
83 days,durch Infektion geimpft,972,2020-02-27,2020-05-20
84 days,kein Impfschutz,195763,2020-02-27,2020-05-21
84 days,durch Infektion geimpft,972,2020-02-27,2020-05-21
85 days,kein Impfschutz,195763,2020-02-27,2020-05-22
85 days,durch Infektion geimpft,972,2020-02-27,2020-05-22
86 days,kein Impfschutz,195763,2020-02-27,2020-05-23
86 days,durch Infektion geimpft,972,2020-02-27,2020-05-23
87 days,kein Impfschutz,195763,2020-02-27,2020-05-24
87 days,durch Infektion geimpft,972,2020-02-27,2020-05-24
88 days,kein Impfschutz,195763,2020-02-27,2020-05-25
88 days,durch Infektion geimpft,972,2020-02-27,2020-05-25
89 days,kein Impfschutz,195763,2020-02-27,2020-05-26
89 days,durch Infektion geimpft,972,2020-02-27,2020-05-26
90 days,kein Impfschutz,195763,2020-02-27,2020-05-27
90 days,durch Infektion geimpft,972,2020-02-27,2020-05-27
91 days,kein Impfschutz,195763,2020-02-27,2020-05-28
91 days,durch Infektion geimpft,972,2020-02-27,2020-05-28
92 days,kein Impfschutz,195763,2020-02-27,2020-05-29
92 days,durch Infektion geimpft,972,2020-02-27,2020-05-29
93 days,kein Impfschutz,195763,2020-02-27,2020-05-30
93 days,durch Infektion geimpft,972,2020-02-27,2020-05-30
94 days,kein Impfschutz,195763,2020-02-27,2020-05-31
94 days,durch Infektion geimpft,972,2020-02-27,2020-05-31
95 days,kein Impfschutz,195763,2020-02-27,2020-06-01
95 days,durch Infektion geimpft,972,2020-02-27,2020-06-01
96 days,kein Impfschutz,195763,2020-02-27,2020-06-02
96 days,durch Infektion geimpft,972,2020-02-27,2020-06-02
97 days,kein Impfschutz,195761,2020-02-27,2020-06-03
97 days,durch Infektion geimpft,974,2020-02-27,2020-06-03
98 days,kein Impfschutz,195759,2020-02-27,2020-06-04
98 days,durch Infektion geimpft,976,2020-02-27,2020-06-04
99 days,kein Impfschutz,195759,2020-02-27,2020-06-05
99 days,durch Infektion geimpft,976,2020-02-27,2020-06-05
100 days,kein Impfschutz,195759,2020-02-27,2020-06-06
100 days,durch Infektion geimpft,976,2020-02-27,2020-06-06
101 days,kein Impfschutz,195759,2020-02-27,2020-06-07
101 days,durch Infektion geimpft,976,2020-02-27,2020-06-07
102 days,kein Impfschutz,195758,2020-02-27,2020-06-08
102 days,durch Infektion geimpft,977,2020-02-27,2020-06-08
103 days,kein Impfschutz,195758,2020-02-27,2020-06-09
103 days,durch Infektion geimpft,977,2020-02-27,2020-06-09
104 days,kein Impfschutz,195758,2020-02-27,2020-06-10
104 days,durch Infektion geimpft,977,2020-02-27,2020-06-10
105 days,kein Impfschutz,195758,2020-02-27,2020-06-11
105 days,durch Infektion geimpft,977,2020-02-27,2020-06-11
106 days,kein Impfschutz,195758,2020-02-27,2020-06-12
106 days,durch Infektion geimpft,977,2020-02-27,2020-06-12
107 days,kein Impfschutz,195758,2020-02-27,2020-06-13
107 days,durch Infektion geimpft,977,2020-02-27,2020-06-13
108 days,kein Impfschutz,195758,2020-02-27,2020-06-14
108 days,durch Infektion geimpft,977,2020-02-27,2020-06-14
109 days,kein Impfschutz,195758,2020-02-27,2020-06-15
109 days,durch Infektion geimpft,977,2020-02-27,2020-06-15
110 days,kein Impfschutz,195757,2020-02-27,2020-06-16
110 days,durch Infektion geimpft,978,2020-02-27,2020-06-16
111 days,kein Impfschutz,195757,2020-02-27,2020-06-17
111 days,durch Infektion geimpft,978,2020-02-27,2020-06-17
112 days,kein Impfschutz,195756,2020-02-27,2020-06-18
112 days,durch Infektion geimpft,979,2020-02-27,2020-06-18
113 days,kein Impfschutz,195756,2020-02-27,2020-06-19
113 days,durch Infektion geimpft,979,2020-02-27,2020-06-19
114 days,kein Impfschutz,195756,2020-02-27,2020-06-20
114 days,durch Infektion geimpft,979,2020-02-27,2020-06-20
115 days,kein Impfschutz,195756,2020-02-27,2020-06-21
115 days,durch Infektion geimpft,979,2020-02-27,2020-06-21
116 days,kein Impfschutz,195756,2020-02-27,2020-06-22
116 days,durch Infektion geimpft,979,2020-02-27,2020-06-22
117 days,kein Impfschutz,195756,2020-02-27,2020-06-23
117 days,durch Infektion geimpft,979,2020-02-27,2020-06-23
118 days,kein Impfschutz,195756,2020-02-27,2020-06-24
118 days,durch Infektion geimpft,979,2020-02-27,2020-06-24
119 days,kein Impfschutz,195756,2020-02-27,2020-06-25
119 days,durch Infektion geimpft,979,2020-02-27,2020-06-25
120 days,kein Impfschutz,195756,2020-02-27,2020-06-26
120 days,durch Infektion geimpft,979,2020-02-27,2020-06-26
121 days,kein Impfschutz,195756,2020-02-27,2020-06-27
121 days,durch Infektion geimpft,979,2020-02-27,2020-06-27
122 days,kein Impfschutz,195756,2020-02-27,2020-06-28
122 days,durch Infektion geimpft,979,2020-02-27,2020-06-28
123 days,kein Impfschutz,195756,2020-02-27,2020-06-29
123 days,durch Infektion geimpft,979,2020-02-27,2020-06-29
124 days,kein Impfschutz,195756,2020-02-27,2020-06-30
124 days,durch Infektion geimpft,979,2020-02-27,2020-06-30
125 days,kein Impfschutz,195756,2020-02-27,2020-07-01
125 days,durch Infektion geimpft,979,2020-02-27,2020-07-01
126 days,kein Impfschutz,195754,2020-02-27,2020-07-02
126 days,durch Infektion geimpft,981,2020-02-27,2020-07-02
127 days,kein Impfschutz,195752,2020-02-27,2020-07-03
127 days,durch Infektion geimpft,983,2020-02-27,2020-07-03
128 days,kein Impfschutz,195751,2020-02-27,2020-07-04
