day,status,count,first_day,date
0 days,keine Immunität,196732,2020-02-27,2020-02-27
0 days,durch Infektion immunisiert,3,2020-02-27,2020-02-27
1 days,keine Immunität,196732,2020-02-27,2020-02-28
1 days,durch Infektion immunisiert,3,2020-02-27,2020-02-28
2 days,keine Immunität,196732,2020-02-27,2020-02-29
2 days,durch Infektion immunisiert,3,2020-02-27,2020-02-29
3 days,keine Immunität,196732,2020-02-27,2020-03-01
3 days,durch Infektion immunisiert,3,2020-02-27,2020-03-01
4 days,keine Immunität,196729,2020-02-27,2020-03-02
4 days,durch Infektion immunisiert,6,2020-02-27,2020-03-02
5 days,keine Immunität,196726,2020-02-27,2020-03-03
5 days,durch Infektion immunisiert,9,2020-02-27,2020-03-03
6 days,keine Immunität,196714,2020-02-27,2020-03-04
6 days,durch Infektion immunisiert,21,2020-02-27,2020-03-04
7 days,keine Immunität,196699,2020-02-27,2020-03-05
7 days,durch Infektion immunisiert,36,2020-02-27,2020-03-05
8 days,keine Immunität,196684,2020-02-27,2020-03-06
8 days,durch Infektion immunisiert,51,2020-02-27,2020-03-06
9 days,keine Immunität,196675,2020-02-27,2020-03-07
9 days,durch Infektion immunisiert,60,2020-02-27,2020-03-07
10 days,keine Immunität,196660,2020-02-27,2020-03-08
10 days,durch Infektion immunisiert,75,2020-02-27,2020-03-08
11 days,keine Immunität,196630,2020-02-27,2020-03-09
11 days,durch Infektion immunisiert,105,2020-02-27,2020-03-09
12 days,keine Immunität,196612,2020-02-27,2020-03-10
12 days,durch Infektion immunisiert,123,2020-02-27,2020-03-10
13 days,keine Immunität,196546,2020-02-27,2020-03-11
13 days,durch Infektion immunisiert,189,2020-02-27,2020-03-11
14 days,keine Immunität,196474,2020-02-27,2020-03-12
14 days,durch Infektion immunisiert,261,2020-02-27,2020-03-12
15 days,keine Immunität,196438,2020-02-27,2020-03-13
15 days,durch Infektion immunisiert,297,2020-02-27,2020-03-13
16 days,keine Immunität,196366,2020-02-27,2020-03-14
16 days,durch Infektion immunisiert,369,2020-02-27,2020-03-14
17 days,keine Immunität,196324,2020-02-27,2020-03-15
17 days,durch Infektion immunisiert,411,2020-02-27,2020-03-15
18 days,keine Immunität,196267,2020-02-27,2020-03-16
18 days,durch Infektion immunisiert,468,2020-02-27,2020-03-16
19 days,keine Immunität,196204,2020-02-27,2020-03-17
19 days,durch Infektion immunisiert,531,2020-02-27,2020-03-17
20 days,keine Immunität,196057,2020-02-27,2020-03-18
20 days,durch Infektion immunisiert,678,2020-02-27,2020-03-18
21 days,keine Immunität,195955,2020-02-27,2020-03-19
21 days,durch Infektion immunisiert,780,2020-02-27,2020-03-19
22 days,keine Immunität,195829,2020-02-27,2020-03-20
22 days,durch Infektion immunisiert,906,2020-02-27,2020-03-20
23 days,keine Immunität,195682,2020-02-27,2020-03-21
23 days,durch Infektion immunisiert,1053,2020-02-27,2020-03-21
24 days,keine Immunität,195562,2020-02-27,2020-03-22
24 days,durch Infektion immunisiert,1173,2020-02-27,2020-03-22
25 days,keine Immunität,195469,2020-02-27,2020-03-23
25 days,durch Infektion immunisiert,1266,2020-02-27,2020-03-23
26 days,keine Immunität,195301,2020-02-27,2020-03-24
26 days,durch Infektion immunisiert,1434,2020-02-27,2020-03-24
27 days,keine Immunität,195169,2020-02-27,2020-03-25
27 days,durch Infektion immunisiert,1566,2020-02-27,2020-03-25
28 days,keine Immunität,195073,2020-02-27,2020-03-26
28 days,durch Infektion immunisiert,1662,2020-02-27,2020-03-26
29 days,keine Immunität,194962,2020-02-27,2020-03-27
29 days,durch Infektion immunisiert,1773,2020-02-27,2020-03-27
30 days,keine Immunität,194863,2020-02-27,2020-03-28
30 days,durch Infektion immunisiert,1872,2020-02-27,2020-03-28
31 days,keine Immunität,194803,2020-02-27,2020-03-29
31 days,durch Infektion immunisiert,1932,2020-02-27,2020-03-29
32 days,keine Immunität,194707,2020-02-27,2020-03-30
